OCCU_DESC,WK_TYPE,CJOB_TYPE,CJOB_NAME1,CJOB_NO,CJOB_NAME2,AVAILREQNUM,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,SALARY_L,SALARY_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE,seg
《11/24艋舺站小徵》房務員/公清員 █無經驗可,全職,16,旅遊／餐飲／休閒,160104,櫃檯服務人員,52,20221124,"1.旅館客房清潔維護及保養2.房況相關業務掌握與處理3.各樓層公共區域清潔客房設施4.客房設施異常回報及簡易排除【11/24(四) 下午2:00-4:00 ,艋舺站辦理微型現場徵才活動】",台北市不限,1年以上,輪班二班制,月薪,27000.0,32000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=791733&HIRE_ID=11585635,城市商旅股份有限公司,20221114,"['11', '24', '小徵', '房務員', '公清員', '無經驗']"
外場正職 人員(bb.qCHICKEN韓國最大連鎖炸雞休閒餐廳),全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,20230111,#13◎帶客及客席服務、環境整理及清潔工作、收銀及飲料甜點製作,台北市不限,無,日班、中班,月薪,30000.0,35000.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1045042&HIRE_ID=11486839,全家國際餐飲股份有限公司,20221111,"['外場', '正職', '人員', 'bb', 'qCHICKEN', '韓國', '連鎖', '炸雞', '休閒', '餐廳', '最大']"
顧客(會員)關係管理經理,全職,21,行銷／企劃／專案,210103,行銷企劃人員,2,20221231,1. 分群目標族群(TA)之顧客關係管理2. 分群目標族群(TA)之各項服務推廣3. 家庭醫師組合服務之推廣,台北市南港區,無,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1151413&HIRE_ID=11370517,眾匯智能健康股份有限公司,20220806,"['顧客', '會員', '經理', '管理']"
【轉投資公司】會計主管(理級以上) ,全職,4,財務／金融／保險,40103,會計主管,1,額滿為止,1.每月財會報表、管理報表彙總。2.協助銀行土建融申請。3.協助建案稅務規劃。*建設業會計 5年以上經驗尤佳*熟悉高益系統管理責任管理人數未定上班時段日班，09:00~18:00,台北市內湖區,5年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2308423&HIRE_ID=11484559,寀奕國際股份有限公司,20220930,"['轉投資', '會計', '理級', '主管', '以上', '公司']"
專案主任,全職,11,營建／製圖／施作,110110,工地監工,2,20311231,生技製藥 / 無塵室空調、電機、水電設計、電腦繪圖、估報價、ISO文件管理、工程管理、現場監造...等。,台北市中山區,3年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=999049&HIRE_ID=10844415,漢欣工程股份有限公司,20211221,['專案主任']
眼科部誠徵學/碩士級研究助理,全職,14,教育／學術／研究,140202,研究助理,1,20221231,[工作內容]1.細胞實驗， 分生實驗 (qPCR， Western blot， flow cytometry等)2.動物實驗3.行政庶務(報帳)， 主持人交辦事項[薪資待遇]學士 畢業第一年起薪33765元碩士 畢業第一年起薪40000元＜隨年資與專業能力調薪＞[其他條件]1.積極主動，有想法善於溝通，有責任感。2.與現有團隊之融入與合作。,台北市北投區,無,日班,月薪,33765.0,40000.0,碩士,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=7291&HIRE_ID=11319837,臺北榮民總醫院,20220722,"['部誠徵學', '碩士級', '研究助理', '眼科']"
生產技術員,全職,10,技術／維修／操作,100113,銑床技術人員,2,20230103,操作铣床金屬加工,台北市士林區,無,日班,時薪,170.0,250.0,國中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1192064&HIRE_ID=11561979,兆同實業有限公司,20221103,['生產技術員']
大安區工地日班保全,全職,18,保全／軍警消,180101,保全人員,1,20221231,從事巡邏、守衛，以及安全維護等工作。,台北市大安區,無,日班,月薪,33000.0,33000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2226033&HIRE_ID=11320621,御林保全股份有限公司,20220718,['大安區工地日班保全']
居家照顧服務員(台北市),全職,17,醫療／美容／保健,170113,照顧服務員,10,20221225,服務內容：為居家失能者、失智者、有照顧需求者提供以下服務：1.身體照顧：身體清潔、翻身拍背、肢體關節活動等2.日常生活照顧：餐食照顧(備餐/餵食/灌食)、安全看視、陪伴服務等3.外出服務：陪同外出、陪伴就醫等4.家事服務：家務整理、代購/代領/代送服務等5.經醫事專業人員指導執行之照顧輔助性服務，,台北市不限,無,日班,時薪,200.0,400.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2432577&HIRE_ID=11542587,耀生長期照顧服務股份有限公司附設臺北市私立耀生居家長照機構,20221025,"['居家照顧服務員', '台北市']"
【內湖地區新開店】副料理長,全職,16,旅遊／餐飲／休閒,160202,中/西餐烹飪廚師,1,20221231,【工作內容】1.美味餐點製作2.人員訓練與管理3.餐期工作檯安排與調度4.確保原物料與食品均符合衛生管理的規定5.器具設備清潔與維護【工作地點】新店地點: 台北市南港區開幕時間: 預計2022年底開幕前受訓地點: 1.樂雅樂南港店：台北市南港區經貿二路66-1號2.樂雅樂內湖店：台北市內湖區民權東路六段491號3.樂雅樂敦化店：台北市松山區敦化北路199巷9號1樓,台北市內湖區,1年以上,輪班二班制,月薪,35000.0,38000.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=152583&HIRE_ID=11466167,樂雅樂食品股份有限公司,20220920,"['內湖', '地區', '開店', '料理']"
兼職調酒師,兼職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,1,額滿為止,提供顧客諮詢，推薦或客製各種飲料；對於調酒有與客人分享互動的積極與熱情。願意在調酒專業發揮自己創意。,台北市信義區,無,部份工時：18時00分至02時00分,時薪,200.0,250.0,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2474731&HIRE_ID=11544797,香港人加油有限公司,20221026,['兼職調酒師']
SMD機台操作技術員,全職,10,技術／維修／操作,100309,金屬製品技術人員,1,額滿為止,SMD載滿操作收料,台北市內湖區,無,日班,月薪,26000.0,35000.0,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=38106&HIRE_ID=11513535,恩柏仕精密工業股份有限公司,20221012,['SMD機台操作技術員']
資深客房清潔員(現場徵才),全職,16,旅遊／餐飲／休閒,160105,房務員,10,20221117,1.客房清潔整理及整房等相關工作。(含：鋪床、浴室清洗、家具擦拭、補充備品、設備保養...等)。2.客房設備定期清潔保養。3.主管交辦事項。【11/17(四)下午2-4時景美站現場徵才】,台北市大安區,無,日班,月薪,30000.0,,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=103990&HIRE_ID=11566581,福華大飯店股份有限公司,20221104,"['資深', '清潔員', '現場', '徵才', '客房']"
土木技術工,全職,11,營建／製圖／施作,110309,粗工,1,20221205,工地作業(依『原住民族工作權保障法』進用名額」),台北市不限,無,日班,月薪,36000.0,40000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2263683&HIRE_ID=11499255,曜鼎營造有限公司,20221005,['土木技術工']
房務員,全職,16,旅遊／餐飲／休閒,160105,房務員,20,額滿為止,依照飯店客房工作品質標準，清潔客房及樓層公共區域。,台北市信義區,無,輪班三班制,月薪,30000.0,36000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=922007&HIRE_ID=11487733,時代國際飯店股份有限公司,20220930,['房務員']
軟體測試工程師 (SIT),全職,21,行銷／企劃／專案,210303,軟體相關專案管理師,1,20221225,"1. 開發/維護自動化測試相關程式2. 參與自動化測試開發討論3.WiFi相容性, 效能與穩定性測試4. 完成主管交辦事宜",台北市大安區,1年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=20329&HIRE_ID=11541867,欣技資訊股份有限公司,20221025,"['軟體', '測試', '工程師', 'SIT']"
大樓及辦公室清潔員,全職,19,清潔／家事／托育(保母),190101,大樓及辦公室清潔員,1,20221214,1.負責工作區域清潔工作。2.執行其它清潔相關交辦事項。,台北市信義區,無,日班,月薪,28000.0,28000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=701416&HIRE_ID=11519237,新高國際設施服務股份有限公司,20221014,['大樓及辦公室清潔員']
房務員 Room Attendant,全職,16,旅遊／餐飲／休閒,160105,房務員,8,額滿為止,1.客房清潔整理及整房等相關工作。    (含：鋪床、浴室清洗、家具擦拭、補充備品、設備保養...等)。2.客房設備定期清潔保養。3.主管交辦事項。,台北市大安區,無,日班,月薪,28000.0,32000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=103990&HIRE_ID=11493709,福華大飯店股份有限公司,20221017,"['房務員', 'Room', 'Attendant']"
會展中心訂房專員,全職,1,經營／行政／總務,10303,總機接待人員,3,20221219,1接洽所有中、外客人來電查詢飯店訂房事宜2協助回覆酒店顧客任何酒店餐飲或住房專案各項問題3內、外部電話接聽及轉接4處理客人留言5維護總機設備確保正常運作工作專業知識及技能需求:有訂房、訂位和電話客服經驗者尤佳、英語要求工作複雜性及困難度:英文語言要求、需學習多項系統、需抗壓性高,台北市信義區,無,輪班二班制,月薪,30000.0,32000.0,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=86947&HIRE_ID=11528919,豐隆大飯店股份有限公司,20221019,['會展中心訂房專員']
機器學習工程師(台北地區),全職,8,資訊／軟體／系統,80304,Internet程式設計師,1,額滿為止,工作內容:1. 參與機器學習專案開發、資料科學相關研發任務並應用於金融場景。 2.利用機器學習模型來優化公司內部流程、提升服務品質。資格條件:工作經歷 : 無經驗亦可學歷要求 : 大學以上畢業科系要求 : 資訊管理相關，數學及電算機科學學科類 其它技能/專長: 1.熟悉Tensorflow、Keras、Python，有實作過深度學習的方法。2.熟悉數理分析統計。  3.模型API開發與設計(RESTful API) 。 4.具NLP模型、影像辨識相關經驗者佳。  5.熟悉Linux、Docker環境演算法開發。 6.機器學習研發運用於金融業場景。 7.具敏捷開發經驗者佳。 8.具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。※為加速招募流程進行，請務必同時投遞104人力銀行職缺※,台北市中正區,無,日班,月薪,35000.0,65000.0,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=386656&HIRE_ID=11471173,台中商業銀行股份有限公司,20220926,"['機器', '學習', '工程師', '地區', '台北']"
餐廳服務員,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,2,20230111,餐廳服務及收碗盤.清潔....等,台北市大安區,無,日班,月薪,29000.0,30000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=910140&HIRE_ID=11581751,龍翔園餐廳有限公司,20221111,['餐廳服務員']
巴賽麗廳 La Brasserie-餐廳主任,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,1,額滿為止,1.控管餐廳外場營運管理＆人員管控 2.餐廳訓練工作執行 3.餐廳顧客關係建立 4.行政事務處理,台北市中山區,無,日班、輪班二班制、中班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=95599&HIRE_ID=11529353,亞都麗緻大飯店股份有限公司,20221020,"['巴賽麗廳', 'La', 'Brasserie', '餐廳', '主任']"
內勤電話行銷,全職,2,業務／貿易／銷售,20302,電話行銷人員,2,20221205,1. 對銷售有興趣，喜歡接觸人群，透過電話，與客戶互動，了解顧客需求。2.定期與新、舊客戶維繫客戶關係，完成業績目標。3.蒐集市場資訊，回報同業動態及客戶反應之意見。4.性格開朗、熱忱 、溝通能力佳、有企圖心、抗壓力強。,台北市大同區,2年以上,日班,月薪,25250.0,100000.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=17460&HIRE_ID=11499201,台醋生醫股份有限公司,20221102,['內勤電話行銷']
餐飲外場服務夥伴..,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,6,額滿為止,1. 可獨立作業 2. 具餐廳相關服務經驗者佳 3. 活潑且具抗壓力 4. 其他主管交辦事項,台北市大安區,無,日班、夜班、輪班二班制,月薪,30000.0,32000.0,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=97381&HIRE_ID=11576537,鼎鼎大飯店股份有限公司,20221114,['餐飲外場服務夥伴..']
《11/18艋舺站小徵》內場儲備幹部,全職,16,旅遊／餐飲／休閒,160201,飯店、餐廳主管,5,20221118,"1.餐點備料及製作。2.協助廚房管理。  【11/18(五) 下午1-3時,艋舺站辦理 微型現場徵才活動】",台北市不限,無,輪班二班制,月薪,32000.0,42000.0,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2250755&HIRE_ID=11574237,杰立餐飲股份有限公司,20221108,"['11', '18', '小徵', '內場', '儲備幹部']"
晚班工讀生-晶湯匙主題餐廳外場兼職(京站店),全職,22,其他職類,220101,兼職人員,5,20221220,◎#13 【無求職意願者勿洽】1. 負責跑單、送餐及聯繫內外場之工作。  2. 負責客人帶位、介紹餐點、點餐、桌邊服務等工作。3. 於客人用餐完畢後，負責收拾碗盤與清理環境及買單服務。 4. 進行簡易餐飲之料理，如：調配飲料、甜點製作等。 ,台北市大同區,無,夜班,時薪,168.0,183.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=385697&HIRE_ID=11531351,共同存在國際餐飲股份有限公司,20221020,"['晚班工讀生-晶湯匙主題餐廳', '外場', '兼職', '京站']"
職業重建個案管理員,全職,14,教育／學術／研究,140120,社工人員,1,額滿為止,辦理身心障礙者接案評估及開案、需求評估、研擬職業重建服務計畫、執行職業重建服務計畫、處遇追蹤、結案及諮詢等服務。另須具備下列資格之一： 1.領有社會工作師、職能治療師、物理治療師、心理師或特殊教育教師證書，從事全職之身心障礙者就業服務、職業輔導評量或成人個案管理工作一年以上者。 2.大專校院復健諮商研究所畢業，從事全職之身心障礙者就業服務、職業輔導評量或成人個案管理工作一年以上者。 3.大專校院社會工作、職能治療、物理治療、特殊教育、勞工關係、人力資源、心理或輔導之相關科系所畢業，或取得就業服務乙級技術士證，從事全職之身心障礙者就業服務、職業輔導評量或成人個案管理工作1年以上者。,台北市士林區,無,日班,月薪,30000.0,41000.0,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=457233&HIRE_ID=11535949,社團法人中華民國聽障人協會,20221021,['職業重建個案管理員']
房務部領班,全職,1,經營／行政／總務,10105,儲備幹部,5,20221205,1.負責客房清潔品質，設備維護之管理 2.物品保養、盤點之執行3.房務員培訓,台北市信義區,1年以上,輪班二班制,月薪,32000.0,,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1001701&HIRE_ID=11498997,寒舍餐旅管理顧問股份有限公司信義分公司,20221005,['房務部領班']
病房清潔人員,全職,19,清潔／家事／托育(保母),190102,清潔工／資源回收人員,5,20230101,1.病房清潔人員2.病房清潔(擦拭、清洗廁所、掃拖、行政區域整理、倒垃圾，及其餘事項)3.主管交辦事項4.面試地點：中山區中山南路8號(兒童醫院B1威合辦公室)5.聯絡時間：星期一~五(0800-1700)   可先電話聯繫，預約面試時間   張主任 0928-021-532,台北市中正區,無,日班,月薪,28000.0,30000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=411484&HIRE_ID=11552991,威務股份有限公司,20221101,['病房清潔人員']
內場廚務員,全職,16,旅遊／餐飲／休閒,160206,廚師助理,10,20230104,1.負責洗、剝、削、切各種食材，以完成烹飪的前置工作。 2.測量食材的容量與重量。 3.依照客人的點單，準備不同菜色所需要的食材。 4.於出菜時負責菜餚擺盤或調整份量之工作。 5.協助打包外帶的食物。,台北市不限,無,日班、夜班、中班,月薪,32000.0,37000.0,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1180854&HIRE_ID=11567461,鑫鼎王餐飲股份有限公司 ,20221114,['內場廚務員']
公務車司機-需有職業小型車駕照(急徵),全職,15,物流／運輸／資材,150103,小客(貨)車司機,1,20221220,★◎#05*派駐到公家機關工作內容* 1.車輛清潔，行前檢查，及一級保養。2.遵守交通規則。3.上班時間司機休息室待命、配合用車需求及主管交辦等事項。4.接送主管上、下班，開會等事宜及主管交辦事宜5.需配合加班6.派駐台灣銀,台北市中正區,1年內,日班,月薪,29800.0,31200.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=766490&HIRE_ID=11531903,創日企業有限公司,20221020,"['公務車', '司機', '職業', '車駕照', '急徵', '需有', '小型']"
專員,全職,9,品管／製造／環衛,90211,製程工程師,2,額滿為止,眼鏡製作(染色)、客戶產品諮詢與建議,台北市中正區,無,日班,月薪,26000.0,30000.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2479073&HIRE_ID=11479895,泰鑫光學有限公司,20220927,['專員']
會計/出納/記帳人員,全職,4,財務／金融／保險,40105,會計/出納/記帳人員,1,20221205,處理會計事務,台北市內湖區,無,日班,月薪,35000.0,45000.0,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2473163&HIRE_ID=11499231,友力營造股份有限公司,20221005,"['會計', '出納', '記帳人員']"
兼職清潔,兼職,19,清潔／家事／托育(保母),190104,環境清潔工,1,額滿為止,負責公共區域環境的清潔打掃工作。,台北市北投區,無,部份工時：13時00分至17時00分,時薪,200.0,200.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2365819&HIRE_ID=11547037,居家美清潔大師有限公司,20221027,['兼職清潔']
【偷飯賊】信義遠百A13店-內場正職,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,2,20230114, 1. 店鋪營業前置作業。  2. 維護營業單位清潔，佈置及整理。  3. 內場前置備料作業，及配餐、出餐、簡易飲料調配等。 4. 其他店主管吩咐之店鋪相關事務。 ,台北市信義區,1年以上,日班、夜班、輪班二班制,月薪,35000.0,,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1066068&HIRE_ID=11585233,兩班家有限公司,20221114,"['偷飯', '信義遠', 'A13', '內場', '正職']"
【段純貞】信義威秀店-內、外場兼職人員,兼職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,6,20230109,↗外場服務夥伴↙1. 餐桌佈置及整潔服務2. 顧客接待及座位安排3. 回覆顧客點餐需求與提供建議4. 提供顧客桌邊服務5. 內場廚房支援備料6. 整潔門市環境與餐具保養↗內場服務夥伴↙1.負責洗、剝、削、切各種食材，以完成烹飪的前置工作2.協助廚師測量食材的容量與重量3.分切流程作業4.食材分裝分包,台北市信義區,無,部份工時：09時00分至18時00分,時薪,175.0,185.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2311647&HIRE_ID=11575725,王座國際餐飲股份有限公司,20221109,"['純貞', '信義威秀店', '外場', '職人員']"
【內湖地區新開店】料理長,全職,16,旅遊／餐飲／休閒,160202,中/西餐烹飪廚師,1,20221231,【工作內容】1.美味餐點製作2.人員訓練與管理3.餐期工作檯安排與調度4.確保原物料與食品均符合衛生管理的規定5.器具設備清潔與維護6.店鋪費用及成本控管【工作地點】新店地點: 台北市內湖區開幕時間: 預計2022年底開幕前受訓地點: 1.樂雅樂南港店：台北市南港區經貿二路66-1號2.樂雅樂內湖店：台北市內湖區民權東路六段491號3.樂雅樂敦化店：台北市松山區敦化北路199巷9號1樓,台北市內湖區,無,輪班二班制,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=152583&HIRE_ID=11465293,樂雅樂食品股份有限公司,20220920,"['內湖', '地區', '開店', '料理']"
餐廳外場基層幹部/服務員(LF西餐廳、雙囍中餐廳、宴會廳),全職,16,旅遊／餐飲／休閒,160205,飯店工作人員,6,20231231,於旅館、飯店內，從事提供顧客服務或維持旅館、飯店正常運作等工作。,台北市中山區,無,輪班二班制,月薪,25250.0,38000.0,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=666169&HIRE_ID=11433619,大來育樂股份有限公司,20221109,"['餐廳', '外場', '基層', '幹部', '服務員', 'LF', '宴會廳', '中餐', '西餐']"
業務司機,全職,15,物流／運輸／資材,150103,小客(貨)車司機,1,額滿為止,貨品出貨/理貨/配送客戶開發/維繫/帳款車輛清潔/保養維護,台北市中山區,無,日班,月薪,28000.0,50000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2478975&HIRE_ID=11488371,廣源商貿有限公司,20221013,['業務司機']
內外場服務人員    ,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,10,20221130,食材調理(洗切、備料、儲存、擺盤)、廚房清理(刀具、餐具、器具、環境)從基層培育為店舖營運幹部、學習管理外場事務及營運管理顧客服務(帶位、點餐、送餐、收桌)、外場清理(客席、餐具、器具、環境),台北市大安區,無,日班、中班,月薪,30000.0,40000.0,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2476671&HIRE_ID=11421685,復大股份有限公司,20221028,['內外場服務人員']
漢堡王服務員-兼職人員[兒童新樂園店],全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,20221205,外場作業:環境整潔櫃台作業:收銀作業/顧客服務內場作業:食品安全/材料準備/高品質餐點製作早班、中班、晚班 可配合彈性排班,台北市士林區,無,日班、夜班、輪班三班制、中班,時薪,168.0,,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=149530&HIRE_ID=11501571,家城股份有限公司,20221005,"['漢堡', '服務員', '職人員', '兒童', '新樂園']"
《11/24艋舺站小徵》飯店／餐廳—高階主管,全職,16,旅遊／餐飲／休閒,160201,飯店、餐廳主管,5,20221124,"具中、大型連鎖飯店/餐廳管理實務，業務推廣—開發能力，教育訓練及培育人才【11/24(四) 下午2:00-4:00 ,艋舺站辦理微型現場徵才活動】",台北市不限,3年以上,輪班二班制,月薪,60000.0,100000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=152370&HIRE_ID=11577999,海霸王餐廳股份有限公司-蘆洲分公司,20221111,"['11', '24', '小徵', '飯店', '餐廳', '高階', '主管']"
餐飲外場(現場徵才),全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,10,20221117,顧客服務與互動、帶位、點餐、送餐、收撤及清潔等【11/17(四)下午2-4時景美站現場徵才】,台北市中山區,無,輪班三班制,月薪,28000.0,34000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=512946&HIRE_ID=11566061,美麗信酒店股份有限公司,20221104,"['餐飲', '外場', '現場', '徵才']"
產品開發專員 (工規無風扇電腦與觸控電腦研發)(11/17徵才),全職,21,行銷／企劃／專案,210205,產品企劃開發人員,1,20230108,1.工控等級電腦產品需求與規格分析、價格與成本方案提出2.專案開發Team領導與跨部門協調3.上市前行銷資料規劃與業務產品介紹4.量產導入與量產後改善方案管理5.Intel週期產品開發6.上市後客製需求規劃與開發執行---------------------------------------------------------------------------------新北市聯合徵才活動-新北市政府六樓禮堂活動時間：11月17日(四) 【上午10點-下午2點】活動地點：新北市政府【六樓禮堂】(新北市板橋區中山路一段161號6樓)交通方式：可搭乘捷運板南線「捷運板橋站2號出口」，「捷運板橋站3A出口」（由地下道前往市府）活動資訊：請複製右側網址→【https://taiwangov.com/zCSdq/TJ】洽詢電話：02-2206-6196---------------------------------------------------------------------------------,台北市內湖區,無,日班,月薪,40000.0,,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=209183&HIRE_ID=11574407,南京資訊股份有限公司,20221108,"['電腦', '產品', '開發', '專員', '工規', '無風扇', '觸控', '研發', '11', '17', '徵才']"
計時服務員,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,額滿為止,1.依照標準程序製作美味餐點    2.外場櫃檯親切服務顧客    3.餐廳運作的最佳幫手    4.個性親切、笑容佳、工作態度認真負責。兼職人員： ◆每週彈性排班◆ 依勞基法規定享有健全員工保障(勞保、健保、勞退)◆ 另幫員工加保團保◆ 依個人表現年度加薪◆ 國定假日雙倍時薪 ◆ 開閉店時段，享有開/閉店津貼50元~60元/小時◆年度健康檢查◆員工餐飲優惠◆ 職工福利項目依當年度福利辦法公告辦理(如生日商品禮券、年節禮金…等)◆完整的教育訓練 ◆工讀轉正(職等保留)◆比照正職人員給薪休假，例如：年假/病假/產假/婚假…等,台北市中正區,無,輪班二班制,時薪,168.0,200.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1169136&HIRE_ID=11503757,台灣頂巧餐飲事業股份有限公司,20221006,['計時服務員']
內外場服務人員  ,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,10,20221130,食材調理(洗切、備料、儲存、擺盤)、廚房清理(刀具、餐具、器具、環境)從基層培育為店舖營運幹部、學習管理外場事務及營運管理顧客服務(帶位、點餐、送餐、收桌)、外場清理(客席、餐具、器具、環境),台北市大安區,無,日班、中班,月薪,30000.0,40000.0,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2474079&HIRE_ID=11354319,中鼎國際開發股份有限公司,20221028,['內外場服務人員']
居家照顧員,全職,17,醫療／美容／保健,170113,照顧服務員,20,20230114,身體照顧、家庭及生活照顧、家事服務,台北市大同區,無,日班、中班,時薪,220.0,220.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2469997&HIRE_ID=11586063,臺北市私立麗康居家長照機構,20221114,['居家照顧員']
台北所-審計員/高級審計員/審計領組,全職,4,財務／金融／保險,40106,審計人員,10,20230101,審查、核定財務收支記錄並提供審計和會計相關諮詢等工作。,台北市南港區,無,日班,月薪,35000.0,65000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=124630&HIRE_ID=11414561,正大聯合會計師事務所,20220829,"['審計員', '高級', '審計', '領組', '台北']"
